val_idx,subset,pred_stage4,pred_stage5
21,Aka_Gha,Ma Nhumu: Yɛ nkyerɛkyerɛ nhyiam anaa nhyiam ahorow ho nhyehyɛe de ma nkurɔfo hu hia a nna ho nkyerɛk,Mmara anaa nhyehyeɛ betumi akyerɛ STI ano aduro ho nkyerɛkyerɛ ne nneɛma a wɔde bɛma wɔ sukuu anaa m
22,Aka_Gha,Yɛ tebea a wobɛte nka sɛ wo ho tɔ wo sɛ wobɛda wo haw ahorow adi anaasɛ wubebisa nsɛm a wunsuro sɛ w,Nneɛma ne nnwinnade ahorow wɔ hɔ a ɛbɛboa wo ma woanya nkɔso na ahyɛ wo nsusuii a ɛyɛ katee a ɛfa nn
23,Aka_Gha,Mmabun hyia akwansideɛ ne nsɛnnennen pii berɛ a wɔrebɔ mmɔden sɛ wɔde wɔn ho bɛhyɛ nkɔmmɔdie ne gyin,Mmabun hyia nsɛnnennen soronko wɔ nyinsɛn mu: Atinka mu Nkɔso: Woda so ara renya w’ankasa atinka mu 
24,Aka_Gha,Mmabun a wonni akwahosan ho a broni ka no 'insurance' no wɔ akwan pii a wɔbɛfa so anya nna ne awo ak,"Yiw, mmabun betumi anya nna ne awo ho akwahosan ho nhyehyɛe a wonni insurance anaa sika. Ayaresabea "
25,Aka_Gha,"Ɔkwan a egyina hokwan ahorow so gye tom sɛ asetra, sikasɛm, ne nneɛma a atwa yɛn ho ahyia a ɛtrɛw, a",Mmusua betumi akasa ama nhyehyɛe ahorow a ɛfa asetena mu nneɛma a ɛkyerɛ mmabun nna ne awoɔ apomoden
26,Aka_Gha,"Wo ho a wobɛkamfo akyerɛ wɔ afotu anaa ayaresa bere mu no hwehwɛ sɛ wobɛka w’ahiade, nea wopɛ, ne ah",Hu wo hye: Honam fam nsa a wode bɛka wo ho bɛn na wo ho tɔ wo? Dwumadi ahorow bɛn na wɔmfa anohyeto 
27,Aka_Gha,"Kyerɛw nsɛm a ɛfa ayayade ho, a nna, mmere, ne ankorankoro a wɔde wɔn ho hyɛɛ mu ka ho. Hwehwɛ mmoa ","Sɛ wuhyia nsɛm a ɛmfata anaa ɛda adi pefee a ɛfa nna ne awo akwahosan ho wɔ Intanɛt so a, to wɛbsaet"
28,Aka_Gha,Aban ne nhyehyeɛ a wɔyɛ no bɛtumi: Wɔde nna ho nkyerɛkyerɛ nhyehyɛeɛ a ɛkɔ akyiri adi dwuma wɔ sukuu,Akwahosan ho adwumayɛfo betumi ayɛ nneɛma pii de ama nna ne awo akwahosan ho nhyehyɛe ayɛ nea ne bo 
31,Aka_Gha,Nyinsɛn a woyi gu a ahobammɔ wom na mmara ma ho kwan yɛ nea akwahosan ho ɔyaresafo a ɔfata yɛ wɔ aya,Nsɛm a ɛyɛ kokoam bere a wɔne akwaahosan ho adwumayɛfo resusuw nna ne awo akwaahosan ho no betumi ay
32,Aka_Gha,"Wɔ afotu anaa ayaresa bere mu no, wo ne wo fotufo anaa ɔyaresafo behyia wɔ kokoam ne kokoam tebea mu",Mpɛn dodow ne bere tenten a wɔde ma afotu anaa ayaresa no betumi ayɛ soronko a egyina w’ahiade ne w’
34,Aka_Gha,Wo sukuu ɔyarehwɛfo anaa ɔfotufo betumi de kokoam mmoa ne nsɛm a ɛfa nna mu akwahosan ho ama. Ayareh,Nhwɛsoɔ a ɛfa amammerɛ mu nimdeɛ a ɛwɔ apomoden ho dwumadie mu ma mmabun ne: Kasa nkyerɛaseɛ dwumadi
35,Aka_Gha,"Nkɔmmɔbɔ ne adwumayɛ a ɛda aban ahorow, ɔmanfo nnwumakuo ahorow, nhomasua asoɛe ahorow, ne amanaman ",Ayɔnkofa a wɔne ankorankoro ne ɔmanfoɔ ahyehyɛdeɛ bɛyɛ no bɛtumi ama mmabun anya sikasɛm mu nnwuma t
38,Aka_Gha,"Nhwɛsoɔ pii wɔ hɔ a ɛfa nnwuma, ne nhyehyɛeɛ a ɛfa adwenemhaw ho a adi nkonim wɔ nna mu basabasayɛ d","Mmabun betumi anya ahokokwaw, ahotoso, ne ahoɔden a wɔde bɛkasa atia mmarima ne mmea ho adwene a ɛnt"
40,Aka_Gha,"Mmabun a wɔahyia nna mu basabasayɛ no wɔ akwan horow pii a wɔfa so bɔ amanneɛ, a nea ɛka ho ne amann","Wo Ho Hwɛ: Fa dwumadi ahorow a ɛma obi nya yiyedi nyinaa, te sɛ apɔ mu ateneatene, adidi pa, ne akwa"
42,Aka_Gha,"Sikasɛm nketewa kyerɛ sikasɛm mu nnwuma, te sɛ bosea nketewa, sikakorabea, insurance, ne sikatua ho ","Sikasɛm ho adwumayɛ kyerɛ nneɛma ne ano aduro ahorow a sikakorabea ahorow, boseabɔ akuo, ne sikasɛm "
50,Aka_Gha,"Akwan ahorow wɔ hɔ a wɔfa so yɛ nna mu nyarewa ""STI"" nhwehwɛmu, a egyina nna mu nyarewa ""STI"" ko a w",Sɛnea wobɛhwɛ sɛ woanya nna mu nyarewa a 'STI' nhwehwɛmu ne ayaresa mmoa: Hunu mpɔtam hɔ apɔmuden mm
51,Aka_Gha,"Animtiaabu, nyiyimu, ne nnipa a wɔde wɔn to nkyɛn no ka mmabun a wotu kɔtra mmeae foforo ne wɔn a wɔ","Nkitahodi mu nipasu, te sɛ abusuakuw, mmusuakuw, nyamesom, ɔbarima ne ɔbea nna, ne nna ho akɔnnɔ, ne"
52,Aka_Gha,Mmabun betumi adi ntawntawdi anaa adwene a enhyia wɔ nkitahodie bi mu ho dwuma wɔ ɔkwan a ɛma denhyɛ,Mfaso a ɛtra hɔ kyɛ a ɛwɔ ntawntawdi ano aduru ho nimdeɛ a emu yɛ den a wobenya ama mmabun so no bi 
53,Aka_Gha,Adwene a ɛnteɛ anaa anansesɛm a wɔtaa nya wɔ sika ne sikasɛm ho a mmaabun betumi ahyia no bi ne gyid,Adwene a ɛnteɛ a wɔtaa nya wɔ awo hokwan ne ahofadi a mmabun wɔ ho no bi ne gyidi ahorow a ɛne sɛ mm
54,Aka_Gha,"Atipɛnfo mmoa nkitahodi ahorow ma nkitahodi a ɛda adi pefee, osuahu ahorow a wɔkyɛ, ne wɔn ho wɔn ho","Nkitahodi ho nimdeɛ ho hia na ama wɔne atipɛnfo, ayɔnkofo, ne wɔn a wɔkamfo kyerɛ a wɔwɔ gyinapɛn ne"
59,Aka_Gha,Ankorankorɛ: Mmabun a wɔwɔ nimdeɛ. Mpɔtam: Nkabom ne ahoɔden. Apɔwmuden: Nkɔsoɔ ne pɛyɛ. Aban: Nniso,"Dwumadie a wɔde ma: Ahyehyɛdeɛ a ɛwɔ mpɔtam hɔ, nnipa mmoa adwumakuo, ne mpɔtam hɔ apɔmuden ho adwum"
62,Aka_Gha,"Aane, adwenem apɔwmuden ho mmoa bi wɔ hɔ a ɛwɔ Intanɛt so a wobetumi anya wɔ kasa ahorow pii mu anaa",Binom ne: Mmabun adwenem apɔwmuden ho animdefoɔ anaa adwene ho animdefoɔ a wɔn ho akokwaw wɔ mmabun 
63,Aka_Gha,"Nkɔmmɔbɔ ne nkitahodi a ɛda aban ahorow, apɔwmuden ho mpanyimfo, ne afoforo a wɔde wɔn ho hyɛ mu nta","Animtiaabu, nyiyimu, ne nnipa a wɔde wɔn to nkyɛn no ka mmabun a wotu kɔtra mmeae foforo ne wɔn a wɔ"
64,Aka_Gha,Mmabun betumi de wɔn suahu ahorow a wonya fi mmabun adwumayɛ nhyehyɛe ne adwumayɛ mu ntetee mu no ad,"Aban ahorow, NGO ahorow, ne mpɔtam ahyehyɛde ahorow di dwuma titiriw wɔ nhomasua ne adwumayɛ ho ntet"
65,Aka_Gha,"Aane, intanɛt beae beae wɔhɔ a wɔma mpɔtam ne nwomasua mmoa ma mmabun a wɔfa nna mu ne awoɔ apɔmmude",Aduruyɛ mu mmoa a wɔde ma mmabun a wɔwɔ ɔhaw tebea horow a ɛfa nna ne awo akwahosan ho no betumi ayɛ
66,Aka_Gha,Susuade pa a ɛbɛtumi aboa wo ma wo adwene mu atsea na wo ho atɔ wo bi ne: Adwene a Wɔde Si Adwene ne,Aduan pa di dwuma titiriw wɔ adwennwen ano aduru mu efisɛ nnuan bi betumi ama ahoɔden a ɛwɔ nipadua 
67,Aka_Gha,CSE nhyehyɛe ahorow boa mmabun ma wonya nimdeɛ a ɛbɛma wɔatumi adi nkitaho ne gyinaesi a etu mpɔn wɔ,Gye a wogye tom: Afotufo de tebea a ɛnyɛ atemmu ma a wɔde hwehwɛ nna ho akɔnnɔ ne ɔbarima ne ɔbea nn
68,Aka_Gha,Mmabun wɔ hokwan sɛ wɔnya kokoamunsɛm bere a ɛfa nna mu apɔmuden mmoa ho: Mmara hyɛ apɔmuden adwumay,Atipɛnfo nkyerɛkyerɛ ne mmoa di dwuma titiriw wɔ abusuabɔ a obu wom a wɔbɛma anya nkɔso ne basabasay
69,Aka_Gha,"Sɛ wote nka sɛ wɔabu m'apɔmuden hokwan so a, wubetumi afa akwan yi so: Kyerɛ wo haw kyerɛ w'apɔmuden",Fa hokwan a wowɔ sɛ wode kokoam nsɛm sie wɔ tebea horow a wote nka sɛ wɔrebu w’ahye so anaasɛ wɔreky
70,Aka_Gha,"W’amammerɛ mu nsɛm, nyamesom mu gyidi, anaa ɔmanfo gyinapɛn ahorow betumi akyerɛ wo adwene wɔ nna mu","Wo gyinapɛn ne wo gyidi ahorow na ɛkyerɛ wo nsusuwii wɔ ɔbarima ne ɔbea dwumadi, nipasu, ne nsɛm a w"
71,Aka_Gha,Wɔayɛ kokoam nsɛm ho mmara sɛ wɔde bɛbɔ mmabun kokoam hokwan ahorow ho ban bere a wɔrenya nna ne awo,Akwahosan ho adwumayɛfo di dwuma titiriw wɔ mmabun a wɔkyerɛkyerɛ wɔn wɔ mmara kwan so hokwan ahorow
73,Aka_Gha,"Sukuu, sukuupɔn, ne adwumayɛ ho ntetee asoɛe ahorow di dwuma titiriw wɔ sikasɛm nhyehyɛe a ɛfa mmari","Mmabun bɛtumi ahyɛ nneyɛeɛ a ɛkyerɛ tema, ntoboaseɛ, ne obu ho nkuran wɔ wɔn sukuu, mpɔtam, ne amans"
76,Aka_Gha,"Akwahosan nhyehyɛe ahorow betumi ahwɛ ahu sɛ mmabun benya nna ne awo ho akwahosan ho nsɛm a edi mu, ","Akwahosan ho adwumayɛfo, akyerɛkyerɛfo, ne mpɔtam hɔ akannifo betumi de amammerɛ ne nyamesom asoɛe a"
79,Aka_Gha,"Fa ""Me"" nsɛm di dwuma: Fa nsɛmfua te sɛ ""Mete nka sɛ m'ani nngye..."" anaa ""Memmpɛ sɛ meyɛ..."" Da wo ","Yiw, hokwan pii wɔ hɔ ma wo sɛ wobɛyɛ atipɛnfo nkɛntɛnso pa na woakasa ama nna mu akwahosan ho nkyer"
80,Aka_Gha,Mmara mu nsɛm a ɛfa bɔberɛ mu nteaseɛ (gender identity) ne ne ndaadi ho ma mmaayewa ne mmeranteɛ gu ,Transgender: Obi a ɔde ne ho to ɔbarima anaa ɔbea a ɛsono ɔbarima ne ɔbea nna a wɔde ama wɔn wɔ awo 
81,Aka_Gha,Bere tiaa ne bere tenten botae ahorow a ɛfa nna ne awo akwahosan ho nhwɛso ahorow bi ne: Bere tiaa m,Awofo ne ahwɛfo a wɔwɔ abusua nhyehyɛe ahorow mu betumi aboa mmabun ma wɔanya adwene pa wɔ wɔn nipad
82,Aka_Gha,"Wo hokafo no honam ne atenka yiyedi a wobɛboa no hwehwɛ sɛ wobɛda tema, ntease, ne ayamhyehye adi. T",Ɛho hia sɛ wote nka sɛ wowɔ ahobammɔ na wɔbu wo bere a wo ne obi reda. Sɛ wo hokafo pow sɛ ɔde kɔndɔ
83,Aka_Gha,Wobu mmaa ne mmaa da ne mmarima ne mmarima da 'LGBTQ+' sɛ mmara mma ho kwan wɔ Ghana,Mma ne mma da ne mmarima ne mmarima da 'LGBTQ+' yɛ mmara so bu wɔ ɔman no mu na anka wɔrenyɛ ho mfon
84,Aka_Gha,"Mfe a wɔhwehwɛ: Ɛsɛ sɛ mmabun du mfe a wɔadi a akwahosan ho insurance nhyehyɛe ahorow akyerɛ no ho, ","Ma nkurɔfo nhu: Mmabun betumi ayɛ akwahosan ho nkyerɛkyerɛ ɔsatu, adwumayɛbea, anaa nhyiam ahorow ho"
86,Aka_Gha,Mfiridwuma ne digyital akwahosan ho dwumadie betumi adi dwuma titiriw wɔ nna ne awoɔ akwahosan ho ns,Nsonsonoe ne akwansideɛ wɔ mmabun a wotu kɔtra mmeae foforo ne wɔn a wɔde wɔn ho kɔ baabi foforo no 
88,Aka_Gha,Sɛnea ɛbɛyɛ na woabɔ wo kokoam nsɛm ho ban bere a worenya nna mu akwahosan ho nsɛm wɔ Intanɛt so ana,"Ma Nhumu: Trɛw nhumu mu wɔ intanɛt so ahobammɔ ho nsɛm mu wɔ atipɛnfo, akyerɛkyerɛfo, ne awofo mu. A"
89,Aka_Gha,"Ɛkyerɛ sɛ worefa mpanyinyɛ kwan so nanso wohyia ɔhaw bi te sɛ 'stigma', nyiyimu ne mmeammea a wontum",Nneɛma pii wɔ hɔ a wobetumi de ama mmabun a wɔn ani gye ho sɛ wobesua pii afa awo ne abusua kyekye h
90,Aka_Gha,Mmabun betumi akamfo mmarima ne mmea pɛyɛ denam: Ɔsatu a wɔde bɛma nkurɔfo ate ase ne nhyiam ahorow ,Mmara a ɛfa GBV ho no gu ahorow wɔ mmeae ahorow. Nea enti a ɛho hia ni: Hokwan ahorow a Wobɛhu: Mmar
91,Aka_Gha,Social media nkɛntɛnsofoɔ nya nkɛntɛnsoɔ kɛseɛ wɔ mmabun adwene ne wɔn nneyɛeɛ a ɛfa nna mu apɔwmude,Nhyehyɛe mu Nsakrae ne Asoɛe mu Nsakrae a Wɔkamfo: Mmabun betumi de nsɛm ho amanneɛbɔ ho nimdeɛ adi 
92,Aka_Gha,"Animtiaabu kyerɛ gyidi, suban, ne nsusuii hunu a ɛnteɛ a ɛde nyiyim ne asetena mu nyiyim ba ankorank","Animtiaabu, nyiyimu, ne nnipa a wɔde wɔn to nkyɛn no ka mmabun a wotu kɔtra mmeae foforo ne wɔn a wɔ"
94,Aka_Gha,Animtiaabu betumi anya mmabun a wɔresusuw ho sɛ wobeyi nyinsɛn agu no so nsunsuanso bɔne kɛse. Ebetu,Nnwuma ahorow a ɛhwehwɛ sɛ awofo pene so ne nea mmabun betumi anya wɔ kokoam nso gu ahorow gyina mma
95,Aka_Gha,Fa ahye (boundaries) a emu da hɔ si hɔ: Kyerɛkyerɛ w’ankasa gyinapɛn ne ahye ahorow a ɛfa nna ne awo,Ka a wobɛka no pintinn ho hia wɔ atipɛnfo nhyɛso a wobɛfa so no mu efisɛ ɛma wutumi ka w’ahye ho asɛ
99,Aka_Gha,Asane ne anohyeto ahorow a ebetumi aba wɔ akwan horow a wɔfa so bɔ wɔn ho ban mu wɔ nna mu basabasay,Mmabun betumi aboa wɔn a wɔanya wɔn ti adidi mu wɔ nna mu basabasayɛ mu wɔ ɔkwan a ɛfa ɔbarima ne ɔb
101,Aka_Gha,Wiase nyinaa apɔwmuden ho nsɛm a egye ntɛmpɛ a atwam no ama yɛahu hia a ɛho hia sɛ yɛde mmabun nna n,Wɔde Wɔn Ho Bɛka Atipɛnfo Nhomasua Nhyehyɛe Ho: Mmabun betumi akamfo akyerɛ sɛ wɔmfa nsɛm ho amanneɛ
103,Aka_Gha,Amammerɛ anaa asetena mu nsunsuansoɔ a ɛwɔ awoɔ mu apɔmuden nsɛm nteaseɛ so no bi ne: animtiaabu ne ,"Akwahosan mu nsonsonoe kyerɛ nsonsonoe a ɛwɔ akwahosan mu nsunsuanso mu wɔ nnipa akuw ahorow ntam, a"
104,Aka_Gha,Amammerɛ mu Nsunsuanso: Ebia amammerɛ ahorow bi wɔ ahyɛde anaa gyidi ahorow a emu yɛ den wɔ nyinsɛn ,Amammerɛ ne nyamesom mu gyidi ahorow betumi anya suban ne nneyɛe a ɛfa nyinsɛn a wosiw ano ntɛm a wo
106,Aka_Gha,"Nsɛm a ɛnteɛ kyerɛ atoro anaa nsɛm a ɛnteɛ a wɔtrɛw mu, mpɛn pii no wɔanhyɛ da, na ɛde adwene a ɛnte",Adwenemhaw hwɛ ho nsɛm yɛ ɔkwan a wɔfa so hu sɛnea adwenemhaw abu so ne nsunsuanso a ɛwɔ ankorankoro
107,Aka_Gha,"Aane, atipɛnfo mmoa akuw ne nkitahodibea afoforo a ɛnyɛ ɔkwan pa so wɔ hɔ a mmabun betumi akɔ wɔn nk",Bere tenten a wɔde di akyi ne bere a wɔde hwɛ no akyi no gu ahorow gyina ɔbabun no ahiade pɔtee ne n
109,Aka_Gha,Nneɛma a wɔde bɛyɛ adwuma: Apomoden ho adwumayɛfo: Wo duruyɛfo anaa ayaresabea betumi de abusua nhye,"Yɛn nsrahwɛ a yɛkɔ daa no betumi aka nsɛmti ahorow a ɛfa wo nna ne awo akwaahosan ho, a nsɛm biara a"
110,Aka_Gha,Mmabun betumi akamfo awo akwahosan ho dwumadie a wɔbɛma atu mpɔn wɔ wɔn mpɔtam hɔ denam: Awoɔ akwaho,Mmabun betumi akamfo nhyehyɛe ne nhyehyɛe ahorow a ɛhyɛ asetra ne sikasɛm mu mmoa a wɔde ma wɔ nna n
112,Aka_Gha,"Fi ase  wɔ ɔpɛ a wowɔ sɛ wobɛka w’akwahosan ne wo yiyedi ho asɛm pefee na woadi nokware adi, na ma w",Sɛ woresusuw mmanfoɔ amanneɛbɔ anaa akontabuo a ɛfa nna mu akwahosan ho a wotumi de wo ho to so na ɛ
113,Aka_Gha,"Bere a ebia Ghana wɔ mmara kwan so anohyeto ahorow a ɛfa LGBTQ+ nsɛm ho no, sɛnea yebetumi akɔ apomu","Yiw, apomoden ho adwumayɛbea ahorow a ɛyɛ mmerante ne mmabaa adamfofa su taa de nneɛma ahorow ma de "
114,Aka_Gha,Nsɛm ho amanneɛbɔ ho nimdeɛ ma mmabun tumi susuw nkrasɛm a wɔde ma wɔ nsɛm ho amanneɛbɔ mu a ɛfa nna,Mmabun betumi anya nsɛm ho amanneɛbɔ ho nimdeɛ a wɔde bɛkasa atia nkrasɛm a epira na wɔde nsakrae pa
115,Aka_Gha,Wubetumi ahwehwɛ intanɛt so ahwehwɛ akuw a wɔhwɛ nnipadua ho sintɔ ahorow so wɔ Ghana. Wubetumi nso ,"Esiane akwansideɛ ahorow a ɛwɔ mmeae pɔtee bi a wobɛkɔ wɔ intanɛt so nti, sɛnea wobɛhwehwɛ nneɛma wɔ"
116,Aka_Gha,"Nhomasua  betumi: De mmoa ne nneɛma a wɔde asi wɔn ani so ama akuo a wɔato wɔn hintidua, te sɛ nnipa",Mmofra a wɔadi dɛm ne akwahosan tebea ahorow a enni sabea ne nna ne awo akwahosan mu nsonsonoe a ɛwɔ
117,Aka_Gha,Apɔwmuden mu nsonsonoe ne pɛyɛ a enni hɔ betumi asiw mmabun a wobetumi asi gyinae a ɛfata wɔ wɔn nna,Apɔwmuden nhyehyɛe a wɔbɛhyɛ mu den wɔ wiase nyinaa apɔwmuden ho tebea horow a egye ntɛmpɛ te sɛ ɔya
118,Aka_Gha,"Aane, sikasɛm mu mmoa nhyehyɛe pɔtee bi wɔ hɔ a wobetumi de ama mmabun a wofi mmusua a wonni ahobamm",Nnwinnade a ɛwɔ Internet so betumi ayɛ nea tumi wom wɔ nsɛm a wɔka de gyina nkurɔfo akyi. Sɛnea wode
119,Aka_Gha,Mmabun wɔ hokwan sɛ: Wonya nna ne awo akwahosan ho nsɛm a ɛyɛ nokware na ɛkɔ akyiri. Fa aduruyɛ ne a,"Aban ahorow, NGO ahorow, ne mpɔtam ahyehyɛde ahorow di dwuma titiriw wɔ nhomasua ne adwumayɛ ho ntet"
120,Aka_Gha,"Mmabun betumi ne nhyehyɛeyɛfo, mpɔtam hɔ akannifo, ne ahyehyɛde ahorow a wɔkamfo kyerɛ no ayɛ biako ","Mmeranteɛ ne mmabaawa bɛtumi afa akwan ahodoɔ so atia amuo ne nyiyim wɔ wɔn mpɔtam, na wɔagyina ama "
121,Aka_Gha,"Yiw, nnwumakuo ahorow a ɛwɔ mpɔtam hɔ ne mmoa akuw bi wɔ hɔ a wobetumi aboa mmabun ma wɔafa amammerɛ",Nneɛma bi wɔ hɔ a ɛbɛboa wo ma woagyina nkateɛ mu nsunsuansoɔ a STIs de ba no ano: Planned Parenthoo
122,Aka_Gha,Wɔde nnuru a wɔde siw nyinsɛn ano a wɔsan frɛ no awo ano aduru di dwuma de siw nyinsɛn ano. Nneɛma p,Nneɛma bi a wɔde bɛyɛ intanɛt so nkyerɛkyerɛ anaa ɔyɛkyerɛ a ɛfa nnuru a wɔde siw nyinsɛn ano a wɔde
125,Aka_Gha,"Ahomegye apɔw-mu-tentennee: Fa w’adwene si wo home so, home na gye ahome nkakrankakra. Nipadua mu nh","Yiw, nhyiam horow ne abɛɛfo ntentan ahorow pɔtee bi wɔ hɔ a wɔatu wɔn ho ama sɛ wɔde intanɛt so ahok"
126,Aka_Gha,CSE di dwuma titiriw wɔ mmarima ne mmea pɛyɛ a wɔhyɛ ho nkuran no mu denam mmarima ne mmea gyinapɛn ,Wobetumi ayɛ nhyehyɛe ahorow a wɔde besiw nna mu basabasayɛ ano na wɔahyɛ pene a wɔpene so ho nkuran
127,Aka_Gha,"Nyinsɛn a woyi gu a ɛfata wo no gyina nneɛma pii so, a nea ɛka ho ne: Mfe a woadi wɔ nyinsɛn mu (ber","Eyi yɛ obi ankasa gyinaesi, na nneɛma pii betumi anya so nkɛntɛnso (Influence). Nneɛma bi a ɛsɛ sɛ w"
128,Aka_Gha,Kasa kyerɛ wo dɔkota. Kɔ clinics a wɔbɛka w'asɛm kokoam. Fa adamfo ka wo ho. Bɔ kɔkɔ sɛ wɔyi wo asɛm,"Ɛkyerɛ sɛ worefa mpanyinyɛ kwan so nanso wohyia ɔhaw bi te sɛ 'stigma', nyiyimu ne mmeammea a wontum"
129,Aka_Gha,Nsɛnnennen a mmabun a wɔadi dɛm hyia wɔ nna mu akwahosan ho no bi betumi ayɛ: 1. Ɔbarima ne ɔbea nna,Mmabun a wɔtwentwɛn wɔn nan ase sɛ wɔbɛda wɔn suahu ahorow a ɛfa ɔhaw anaa basabasayɛ ho adi no betu
132,Aka_Gha,Nyinsɛn betumi de nkate ne adwene mu apɔwmuden ho nsɛnnennen aba esiane nkwaadɔm mu nsakrae nti: Adw,"Dadwen: Adwennwene betumi ama adwumayɛ ho dadwen aba, .ɛma ɛyɛ den sɛ wobɛgye w’ahome na woanya nna "
133,Aka_Gha,Ankorɛankorɛ asɛm a wɔka: Ka wo suahunu a ɛfa mmaninyɛ ne mmaa-yɛ akwahosan ne ho kwan ho asɛm kyerɛ,"Mmabun betumi akamfo nna ne awo akwahosan ho nsɛmti ho mfonini a ɛyɛ pɛpɛɛpɛ, a ɛka obiara ho, na ɛy"
134,Aka_Gha,Adwene a ɛnteɛ a wɔtaa nya wɔ awo hokwan ne ahofadi a mmabun wɔ ho no bi ne gyidi ahorow a ɛne sɛ mm,"Anansesɛm no bi ne sɛ, ɛyɛ nhyɛ sɛ wodi nna mu agorɛ wɔ mpenatweɛ mu. Wei ɛɔnnyɛ nokware. Wo ne wo h"
135,Aka_Gha,"Sua adeɛ fa nna mu apɔmuden, ne akwan a yɛfa so si nyinsɛn kwan ho. Wo ne ahokafo nni nkitaho pefee,",Nkitahodi a Wɔabue Mu: Fi ase bɔ nkɔmmɔ a emu da hɔ na ɛkyerɛ obu fa abrabɔ pa ho nsɛmti te sɛ pene 
136,Aka_Gha,Mmara kwan so hokwan ho adesua boa ma wɔko tia nyiyim ne animtiaabu a mmabun a wɔrehwehwɛ nna ne awo,Mmara ne nhyehyeɛ a ɛfa ɔhokafoɔ amanneɛbɔ a ɛfa nna mu yarewa a yɛfrɛ no wɔ broɔfo kasa mu sɛ STI n
137,Aka_Gha,Mmara kwan so ahobammɔ a wɔde ma LGBTQ+ ankorankoro no gu ahorow wɔ ɔman anaa ɔmantam biara mu. Wɔ m,Bɔbeasu dwumadi ne akwanhwɛ a ɛyɛ katee betumi anya nea efi mu ba a ɛho hia ama ankorankoro a wɔne a
139,Aka_Gha,"Sɛ wokɔ so yɛ nnam a, ebetumi ayɛ anigye bere a wunya dwumadi ahorow a w’ani gye ho: Akuw Agumadi: B",Akwan a wɔfa so fi ase ne atipɛnfo anaa ahokafo bɔ nkɔmmɔ a ɛfa nna mu akwahosan ho nsɛmti ho wɔ obu
