idx,subset,ref,wr_9A_global_rl_heavy,wr_9A_global_balanced,wr_9A_global_rougel_heavy,wr_9B_lugswa_rl_heavy,wr_9B_lugswa_balanced,wr_9B_lugswa_rougel_heavy,wr_9C_direct_BGE_top5,wr_9C_direct_BGE_top10,wr_9C_direct_BGE_top20,wr_9_routed,wr_stage5_routed
5344,Lug_Uga,"Bw’oba waakamanya embeera yo, funa obudde okulowooza ku mawulire ago nga tonnasalawo kugagabana na m",0.029,0.0529,0.029,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.0779
5345,Lug_Uga,Akawuka akaleeta Siriimu vvayiraasi esobola okuvaamu Siriimu singa tejjanjabwa. Omuntu bw’amala okuk,0.74,0.74,0.74,0.74,0.74,0.74,0.1637,0.0871,0.1153,0.74,0.07
5346,Lug_Uga,Akawuka akaleeta Siriimu okusinga kasaasaanyizibwa nga kayita mu mazzi ag'omu mubiri agalimu akawuka,0.1413,0.1413,0.1413,0.74,0.74,0.74,0.1413,0.1413,0.1413,0.74,0.74
5347,Lug_Uga,Kya nnaku okuwulira embeera enzibu omulenzi ono gy'ayitamu. Kikulu okumuyamba n'okumulambika mu kise,0.0696,0.0696,0.0696,0.74,0.74,0.74,0.0696,0.0,0.0,0.74,0.076
5348,Lug_Uga,"Genda mu ddwaliro weekebeze amangu ddala kubanga bw'otandika okufuna obujjanjabi amangu, kikuyamba.",0.0462,0.0462,0.0462,0.2018,0.2018,0.2018,0.0462,0.0462,0.0187,0.2018,0.063
5349,Lug_Uga,Okukebera omwana wo Akawuka akaleeta Siriimu y’engeri yokka enkakafu ey’okumanya oba omwana wo alina,0.1263,0.1263,0.1263,0.0831,0.0831,0.0831,0.1537,0.1537,0.1537,0.0831,0.0673
5350,Lug_Uga,"Weewe obudde okuwona, yogerako n’emikwano gy’olina okufuna obuyambi, era essira lisse ku bulamu bwo.",0.0228,0.0228,0.0228,0.037,0.037,0.037,0.0358,0.037,0.0227,0.037,0.0228
5351,Lug_Uga,Okubeera n’Akawuka akaleeta Siriimu tekitegeeza nti ogenda kufa. Olw’enkulaakulana mu bujjanjabi nad,0.1196,0.1106,0.1196,0.1233,0.1233,0.1233,0.1497,0.1233,0.1233,0.1233,0.1233
5352,Lug_Uga,"""Kiramidiya era amanyiddwa ng'Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusu",0.1217,0.1217,0.1217,0.74,0.74,0.74,0.1217,0.1533,0.1533,0.74,0.1035
5353,Lug_Uga,Okukola ku nkyukakyuka ezijja ku lususu nga embalabe oba olususu okubaako ekirungo ekiseerera bituuk,0.0748,0.0736,0.0736,0.0736,0.0736,0.0736,0.0736,0.0736,0.0736,0.0736,0.0736
5354,Lug_Uga,"Embeera gy’onnyonnyolako, abantu ssekinnoomu mwe bayinza okubeerera n’emboozi ezikwata ku birowoozo ",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5355,Lug_Uga,Okwenyigira mu kwegatta n'omuntu awangaala n'Akawuka akaleeta Siriimu tekukuteeka mu katyabaga ka ku,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.079,0.1314,0.74,0.74
5356,Lug_Uga,Bw’oba weenyigidde mu kwegatta n’omuntu gw’oteebereza oba gw’omanyi nti alina Akawuka akaleeta Sirii,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545,0.1545
5357,Lug_Uga,Kiramidiya era amanyiddwa nga Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusu,0.74,0.74,0.74,0.74,0.74,0.74,0.0804,0.0804,0.0804,0.74,0.0804
5358,Lug_Uga,"Akawuka akaleeta Siriimu okusinga kasiigirwa mu makubo ag’enjawulo, era akabi k’okusiigibwa okuva ku",0.1138,0.1516,0.084,0.74,0.1516,0.1516,0.1516,0.1516,0.1516,0.74,0.1523
5359,Lug_Uga,"Obulwadde buno obwa Kisipi akwata Ebitundu by'ekyama oba Akawuka ka Vvayiraasi akaleeta Kisipi, era ",0.3042,0.3042,0.3042,0.3042,0.3042,0.3042,0.3042,0.3042,0.3042,0.3042,0.1415
5360,Lug_Uga,Obungi bw'akawuka ka vvayiraasi akali mu musaayi n'omuwendo gw'obutaffaali obulwanyisa Akawuka akale,0.74,0.74,0.74,0.74,0.74,0.74,0.148,0.148,0.2677,0.74,0.74
5361,Lug_Uga,Okuyamba omuntu ow'olubuto awanduse mu ssomero era asanga okuwakanyizikwa okuva mu bazadde be kiyinz,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0651
5362,Lug_Uga,"Obulumi obw’amaanyi, omusujja ogw’amaanyi oba okuvaamu omusaayi mu bibuno mu ngeri etaali ya bulijjo",0.111,0.111,0.111,0.0949,0.0949,0.0949,0.0949,0.0949,0.111,0.0949,0.0667
5363,Lug_Uga,"We butuukidde mu 2025, nga tewannabaawo ddagala ligema Kiramidiya oba amanyiddwa nga Akawuka ka Kira",0.152,0.152,0.152,0.74,0.74,0.74,0.1339,0.1339,0.152,0.74,0.3139
5364,Lug_Uga,"Nedda, si kirungi kwegatta nga teweetangidde ng’oli ku ddagala lya PEP. PEP ddagala eriziyiza Akawuk",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5365,Lug_Uga,Okubeera n'omuntu alina Akawuka akaleeta Siriimu kiyinza okuleeta okusoomoozebwa okw'enjawulo n'emik,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5366,Lug_Uga,Kino kitegeeza ekiseera okuva lwe wakwatibwa akawuka okutuuka lwe kasobola okuzuulibwa mu mubiri gwo,0.137,0.137,0.137,0.74,0.74,0.74,0.74,0.137,0.137,0.74,0.0529
5367,Lug_Uga,Akatyabaga k'okukwatibwa Akawuka akaleeta Siriimu kasingako nga weegattidde awava obubi n'omuntu aka,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141
5368,Lug_Uga,Obusannyalaze bw'omubiri naddala estrogen (abawala) ne testosterone (abalenzi) bukola kinene ku biro,0.1966,0.1966,0.1966,0.1966,0.74,0.1966,0.1966,0.1966,0.1966,0.1966,0.1966
5369,Lug_Uga,Okukwatibwa kw'obuwuka obufunibwa okuyita ku mu kwegatta. Era busobola okusaasaanyizibwa mu biseera ,0.1189,0.1189,0.1189,0.74,0.1189,0.74,0.1189,0.0336,0.0517,0.74,0.0779
5370,Lug_Uga,Okukola eddagala eriwangaala eriwonya Akawuka akaleeta Siriimu kibadde kigendererwa kinene eky’okuno,0.1975,0.1975,0.1975,0.74,0.74,0.74,0.1184,0.74,0.1975,0.74,0.0841
5371,Lug_Uga,Obwetaavu bwo obw'okwekebeza okwekuusa ku by'okwegatta buzinziira ku katyabaga k'olina ak'okufuna Ob,0.1218,0.1106,0.1106,0.1106,0.1106,0.1106,0.0517,0.0712,0.0712,0.1106,0.1106
5372,Lug_Uga,Kiramidiya era amanyiddwa nga Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1039,0.74,0.74
5373,Lug_Uga,Okuwulira nga oli wekka oba nga weeyawudde ku balala mu kiseera ky'okuvubuka kusobola okubaawo olw’e,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5374,Lug_Uga,Weekebeze olubuto era oyogereko n'omuntu omukulu oba ow'ebyobulamu okufuna obuyambi n'amagezi.,0.0317,0.0317,0.0317,0.1233,0.1233,0.74,0.0569,0.0548,0.0317,0.1233,0.0317
5375,Lug_Uga,Tewali ddagala liwonyeza ddala Kawuka akaleeeta Siriimu ng’oggyeeko eddagala erikaweweezaako. Enkola,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5376,Lug_Uga,"Okwegatta nga tolina nkola ekiziyiza, gamba nga akapiira, kitera okuyitibwa ""okwegatta kw'obuteetang",0.0905,0.1365,0.0905,0.0967,0.0967,0.0967,0.0763,0.0905,0.1065,0.0967,0.0967
5377,Lug_Uga,"Yee, eddagala erigema erya bacille Calmette-Guérin (BCG) lisobola okukuuma omuntu okuva eri endwadde",0.0844,0.0844,0.0844,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661
5378,Lug_Uga,"Okubeera n'omuntu alina Akawuka akaleeta Siriimu kyetaagisa okutegeera, okuyamba, n'okubeera omwegen",0.1161,0.1161,0.1161,0.112,0.112,0.112,0.1182,0.1635,0.1142,0.112,0.1182
5379,Lug_Uga,"Yee, Akawuka akaleeta Siriimu/Siriimu bisobola okuleeta enkyukakyuka mu mbeera nga ekimu ku bikosa o",0.1458,0.1458,0.1649,0.74,0.1649,0.1649,0.1649,0.1649,0.1649,0.74,0.1649
5380,Lug_Uga,Obuwuka obuleeta obulwadde bunnakigwanyizi bwe bulwadde obusinga okubalukawo era nga businga kuba bw,0.0884,0.153,0.0884,0.74,0.74,0.74,0.153,0.153,0.153,0.74,0.153
5381,Lug_Uga,Okulumwa omutwe emirundi egiwerako ekiro n’okutuuyana byokka si bubonero bw'Akawuka akaleeta Siriimu,0.1233,0.1123,0.1233,0.74,0.74,0.74,0.74,0.1247,0.1123,0.74,0.74
5382,Lug_Uga,"Yee, gy'okoma okubeera n'ababeezi abangi, gy'okoma okubeera n'emikisa mingi egy'okukwatibwa Obuwuka ",0.1025,0.0257,0.1025,0.1644,0.0612,0.0612,0.0257,0.0257,0.1025,0.1644,0.1644
5383,Lug_Uga,Waliwo ebikozesebwa bingi ebisobola okukozesebwa okufuna obuyambi n'okuyiga ebisingawo ku Kawuka aka,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5384,Lug_Uga,Okugyisa abalwadde b'Akawuka akaleeta Siriimu mu mbeerabantu kyetaagisa okusobola okukendeeza ku kub,0.0701,0.109,0.1304,0.109,0.109,0.109,0.0813,0.1304,0.1304,0.109,0.0863
5385,Lug_Uga,"Beera wa mazima era omulambulukufu ku ky'owulira, era okakase nti mboozi ya bukkakkamu.",0.0239,0.0315,0.0239,0.1057,0.1057,0.1057,0.0389,0.0239,0.0239,0.1057,0.0548
5386,Lug_Uga,"Engeri esinga ey'okwetangira okukwatibwa Akawuka akaleeta Siriimu kwe kwewala okwegatta. Wabula, bw’",0.1152,0.1152,0.1152,0.1161,0.1161,0.1161,0.1476,0.1476,0.1459,0.1161,0.109
5387,Lug_Uga,Okwemazisa nkola kya bulijjo era ekya bukaba abantu bangi kye beenyigiramu era kitera okutwalibwa ng,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5388,Lug_Uga,"Nedda, Akawuka akaleeta Siriimu tekasobola kuwonyezebwa mu ssaawa 24 oluvannyuma lw’okwegatta oba ek",0.1781,0.74,0.1091,0.74,0.74,0.74,0.155,0.155,0.155,0.74,0.1091
5389,Lug_Uga,"Okusookera ddala, kyannaku okuwulira nti obuuza ku kino naye ndiwo kukuwa bubaka nga bwe kyetaagisa.",0.0484,0.0484,0.0484,0.74,0.74,0.74,0.74,0.0484,0.0484,0.74,0.0588
5390,Lug_Uga,Ebiseera ebisinga kikubirizibwa abakyala abalina Akawuka akaleeta Siriimu okuzaala mu ngeri ey'obuto,0.1147,0.1147,0.1147,0.74,0.74,0.74,0.1147,0.1147,0.1147,0.74,0.1147
5391,Lug_Uga,"Okukolagana n’emikwano egirina obulwadde obusiigibwa, gamba nga Akawuka akaleeta Siriimu, KKOVIDI-19",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1191,0.0967,0.74,0.74
5392,Lug_Uga,"Yee, kisoboka ddala abantu ssekinnoomu okuba nga tebafunangako lubuto era obutafuna lubuto mu kiseer",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1037,0.1037,0.74,0.74
5393,Lug_Uga,Okukomolebwa kw'abaami okw'ekisawo kusobola okuwa omwami obukuumi obw’ekitundu obulamu bwe bwonna ok,0.0925,0.0925,0.0925,0.0867,0.148,0.148,0.0925,0.0925,0.0867,0.0867,0.148
5394,Lug_Uga,Engeri yokka ey’okwewalira ddala Kiramidiya era amanyiddwa nga Akawuka ka Kiramidiya akalwaza Ebitun,0.74,0.74,0.74,0.74,0.74,0.74,0.1814,0.1814,0.1814,0.74,0.74
5395,Lug_Uga,"Okuzuula w’oyinza okufuna obujjanjabi bwa Kisipi, weebuuze ku musawo wo ku bujjanjabi ki obuli mu ki",0.0128,0.0459,0.0459,0.74,0.74,0.74,0.0476,0.0297,0.0459,0.74,0.0476
5396,Lug_Uga,"Nedda, Obuwuka obuleeta Obulwadde bw'Ekikaba tebusobola kusaasaanyizibwa kuyita mu masimu; busaasaan",0.2368,0.2368,0.2368,0.2368,0.2368,0.2368,0.2368,0.2368,0.2368,0.2368,0.0881
5397,Lug_Uga,"Akawuka akaleeta Siriimu n'okubeera olubuto bintu bibiri bya njawulo ennyo, era si kituufu kugeraage",0.1057,0.0965,0.0965,0.74,0.74,0.74,0.1336,0.1336,0.1036,0.74,0.0774
5398,Lug_Uga,"Yee, Omusujja gw'ekibumba ogwa B okusinga gusaasaanyizibwa singa omusaayi, amazzi g'ekisajja, oba am",0.1734,0.1734,0.1734,0.74,0.74,0.74,0.3289,0.2186,0.1734,0.74,0.74
5399,Lug_Uga,Kya nnaku okuwulira nti maama wo yafa. Singa weekengera nti maama wo ayinza okuba nga yafa Akawuka a,0.74,0.74,0.74,0.74,0.74,0.74,0.1327,0.1327,0.74,0.74,0.1118
5400,Lug_Uga,"Kikulu okutangaaza nti abantu abawangaala n'Akawuka akaleeta Siriimu/Siriimu mu butuufu, bantu ""ba b",0.1036,0.1036,0.1036,0.74,0.74,0.74,0.1036,0.1036,0.1036,0.74,0.1036
5401,Lug_Uga,Okubeera n'omuntu alina Akawuka akaleeta Siriimu kiyinza okuleeta okusoomoozebwa okw'enjawulo n'emik,0.1176,0.1248,0.1176,0.1726,0.1726,0.1726,0.1726,0.1726,0.1176,0.1726,0.0921
5402,Lug_Uga,Abaami bajja kusabibwanga okuwaayo sampolo y'omusulo oba swab eyinza okukozesebwa okufuna sampolo y',0.0901,0.0901,0.0901,0.0508,0.0508,0.0508,0.0901,0.0625,0.0625,0.0508,0.0508
5403,Lug_Uga,Emyaka gy'okutandikirako okugenda mu nsonga gyawukana okusinziira ku muntu. Gitera kutandika wakati ,0.1491,0.1491,0.1491,0.74,0.74,0.74,0.0915,0.0915,0.147,0.74,0.0915
5404,Lug_Uga,Singa olina Akawuka akaleeta Siriimu era ng’oyagala okuganza oba okukola omukwano ogulimu okwegatta ,0.097,0.097,0.097,0.74,0.74,0.74,0.1402,0.1402,0.74,0.74,0.097
5405,Lug_Uga,Obulwadde bwa Kisipi buleeta ebizibu bingi okusinziira ku mbeera y'omubiri n'embeera y'omuntu akwati,0.1057,0.1057,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5406,Lug_Uga,Obusannyalaze bw'omubiri busobola okufuga enneewulira yo ey’okwegomba okwegatta n'obwagazi bwo ng’ol,0.1639,0.1639,0.1639,0.2147,0.2147,0.2147,0.1126,0.1126,0.1126,0.2147,0.1126
5407,Lug_Uga,"Yee, Akawuka akaleeta Siriimu we kali. Akawuka akaleeta Siriimu kanoonyerezeddwako nnyo era nga kaba",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1244,0.1244,0.74,0.74
5408,Lug_Uga,Ebiseera ebisinga kikubirizibwa abakyala abalina Akawuka akaleeta Siriimu okuzaala mu ngeri ey'obuto,0.1057,0.1057,0.1057,0.74,0.74,0.74,0.74,0.1221,0.1057,0.74,0.74
5409,Lug_Uga,Obuwuka obuleeta Endwadde z’Ekikaba tebuviirako Siriimu oba Akawuka akamuleeta bwo kennyini. Wabula ,0.1194,0.1194,0.74,0.74,0.74,0.74,0.74,0.74,0.1712,0.74,0.1194
5410,Lug_Uga,Osobola okufuna Kabootongo ng’okwatagana butereevu n’ekiwundu k'oyo amulina. Enkwatagana eno esobola,0.74,0.74,0.74,0.74,0.74,0.74,0.118,0.74,0.74,0.74,0.0705
5411,Lug_Uga,"Yee, Akawuka akaleeta Siriimu kasobola okusiigibwa okuyita mu kwegattira awava obubi  singa embeera ",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1362
5412,Lug_Uga,Ekigendererwa ekikulu eky’enkola z’ekizaalaggumba kya kutangira kufuna mbuto. Waliwo enkola z'ekizaa,0.0558,0.0366,0.0558,0.0558,0.0558,0.0558,0.0906,0.0906,0.0558,0.0558,0.07
5413,Lug_Uga,"Okukebera Kiramidiya kuzuula bbakitiiriya ereeta Kiramidiya, Akawuka akaleeta Obulwadde bw'Ekikaba, ",0.74,0.74,0.74,0.74,0.74,0.74,0.0818,0.0818,0.0818,0.74,0.74
5414,Lug_Uga,Akawuka akaleeta Siriimu ne Siriimu mbeera za bujjanjabi ddala nga zirina emitendera egy’enjawulo. E,0.1458,0.1458,0.1458,0.1366,0.1366,0.0802,0.1389,0.1366,0.1366,0.1366,0.1366
5415,Lug_Uga,Amabeere galimu Akawuka akaleeta Siriimu kale kasobola okuyingira mu mubiri gw’omwana singa maama ab,0.0359,0.0359,0.0359,0.74,0.74,0.74,0.2581,0.0359,0.0359,0.74,0.0396
5416,Lug_Uga,Buno bwe bumu ku bukodyo bw'okulabirira enjala n'obuyonjo mu kiseera ky'okuvubuka: Okusala enjala: K,0.74,0.74,0.1067,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5417,Lug_Uga,"Kya bulijjo okuwulira ng'oyagala omuntu, naye kikulu okuteekawo ensalo n’okussa essira ku misomo gyo",0.0167,0.0167,0.0,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228
5418,Lug_Uga,Kizibu okuziyiza akafuba kubanga kasobola okukwata omuntu nga kayita mu mpewo. Bw’oba olina Akawuka ,0.1092,0.0848,0.74,0.74,0.74,0.74,0.1092,0.1092,0.0593,0.74,0.054
5419,Lug_Uga,"Okwewala okwegatta nga tonnafumbirwa kikusalawo wa muntu ssekinnoomu okusinziira ku by'oyagala, by'o",0.0666,0.0666,0.0329,0.74,0.74,0.74,0.0416,0.0416,0.0416,0.74,0.0427
5420,Lug_Uga,"Ensawo z'amagi agazaala: Mu kiseera ky’obuvubuka, ensawo z'amagi agazaala zitandika okukula ne ziful",0.74,0.74,0.74,0.74,0.74,0.74,0.0731,0.1099,0.1099,0.74,0.1003
5421,Lug_Uga,"Yee, Obusannyalaze bw'omubiri busobola okukosa enneeyisa yo n’obunnamuntu bwo ng’oli mu myaka gy’obu",0.1498,0.1498,0.1498,0.74,0.74,0.74,0.1498,0.1498,0.1498,0.74,0.1155
5422,Lug_Uga,Obupiira bw'abaami n'abakyala busobola okukola obulungi mu kutangira Akawuka akaleeta Siriimu nga bu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5423,Lug_Uga,"Okwenyigira mu kikolwa ky'okwegatta nga teweetangidde kiyinza okubeera n'emiganyulo ate n'obuzibu, e",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0605,0.74,0.74
5424,Lug_Uga,Emboozi y'okwogera ku embeera ku Kawuka akaleeta Siriimu eri omubeezi wo esobola okuba nga ya kwegen,0.74,0.1079,0.1079,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5425,Lug_Uga,"Okukwatibwa ebika by'Akawuka akaleeta Siriimu ebisukka ku kimu kiyitibwa ""okulwalannakabirye"". Embee",0.1003,0.1003,0.1003,0.1368,0.1368,0.1368,0.1941,0.1368,0.1057,0.1368,0.1368
5426,Lug_Uga,Obwagazi bw'okwegatta kitundu kya butonde era kya bulijjo ku bulamu bw'omutu ne ku bwongo. Kiyinza o,0.149,0.149,0.149,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1179
5427,Lug_Uga,Okwongera n'omuntu ku mbeera ye ku  Kawuka akaleeta Siriimu kusobola okuba ensonga y'okukwata n'obwe,0.1229,0.74,0.1229,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1184
5428,Lug_Uga,"""P2"" linnya erikozesebwa ennyo ery'enkola ekozesebwa okuziyiza okufuna olubuto, era era erimanyiddwa",0.74,0.1325,0.1652,0.74,0.74,0.74,0.74,0.74,0.1652,0.74,0.74
5429,Lug_Uga,Akawuka akaleeta Siriimu/Siriimu si kya kugereesa; mbeera ya kisawo ewandiikiddwako obulungi era eno,0.0892,0.0892,0.0892,0.74,0.74,0.74,0.1573,0.0892,0.0892,0.74,0.1573
5430,Lug_Uga,"Okusooka, weebuuze ku musawo wo, wadde ng'obujjanjabi bwa Tuliici buzingiramu okukozesa eddagala eri",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5431,Lug_Uga,Akawuka akaleeta Siriimu okusinga kasiigibwa okuyita mu kukwatagana n’amazzi ag’omubiri ag’enjawulo ,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5432,Lug_Uga,PEP ow'Akawuka akaleeta Siriimu akubirizibwa nnyo okukozasebwa abantu ssekinnoomu abadde mu mbeera e,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5433,Lug_Uga,Okusalawo okufuna muganzi wo omulezi mwegatte kya kusalawo kya buntu nnyo era nga tekirina kwesigama,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5434,Lug_Uga,"Kiramidiya, era amanyiddwa Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusulo,",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5435,Lug_Uga,Ekiseera omuntu omulwadde mw’asobolera okusiiga abalala Akawuka akaleeta Siriimu kiyitibwa ekiseera ,0.1669,0.1669,0.0994,0.74,0.1338,0.74,0.1184,0.1026,0.1781,0.74,0.1416
5436,Lug_Uga,Kiramidiya era amanyiddwa nga Akawuka ka Kiramidiya akalwaza Ebitundu by'ekyama n'omuyitiro gw'omusu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
